t;z;y;vz;vy;az;ay;KE;V
8.932e-15;8.09593757152448e-9;1.4491941077347215e-10;5.171690612951246e6;-83752.92189615806;-2.3257960543391329e21;-1.3018222153726713e21;8.888816601127712e-14;7.779445778500767e-14
8.933e-15;8.101109262137431e-9;1.4483565785157599e-10;5.169364816896907e6;-85054.74411153073;-2.84125990326837e21;-1.831109244929929e21;8.880898609059518e-14;7.788215236530141e-14
8.934e-15;8.106278626954328e-9;1.4475060310746445e-10;5.166523556993639e6;-86885.85335646066;-3.4263289178082834e21;-2.619734325217515e21;8.871246047776705e-14;7.798840165720113e-14
8.935e-15;8.111445150511321e-9;1.4466371725410799e-10;5.163097228075831e6;-89505.58768167818;-4.021853040241112e21;-3.789577854281077e21;8.859640362673669e-14;7.811455956916354e-14
8.936e-15;8.116608247739397e-9;1.445742116664263e-10;5.1590753750355905e6;-93295.16553595926;-4.455898731541029e21;-5.467000856520506e21;8.846077411464355e-14;7.825812558629654e-14
8.937e-15;8.121767323114432e-9;1.4448091650089034e-10;5.15461947630405e6;-98762.16639247976;-4.3678342784150174e21;-7.653840141222838e21;8.831157126430937e-14;7.84075123418946e-14
8.938000000000001e-15;8.126921942590736e-9;1.4438215433449787e-10;5.150251642025635e6;-106416.0065337026;-3.2686233677004795e21;-9.94295237554919e21;8.816724329840256e-14;7.853597025058822e-14
8.939000000000001e-15;8.132072194232762e-9;1.4427573832796416e-10;5.146983018657934e6;-116358.9589092518;-1.0153054964881506e21;-1.1353323241876715e22;8.806277479155383e-14;7.860435885733955e-14
8.940000000000001e-15;8.13721917725142e-9;1.441593793690549e-10;5.145967713161446e6;-127712.28215112851;1.6193284074099035e21;-1.1000428695588239e22;8.80372597532786e-14;7.858455701831089e-14
8.941e-15;8.142365144964582e-9;1.4403166708690378e-10;5.147587041568856e6;-138712.71084671674;3.484713198868209e21;-9.143438009976389e21;8.810237887528782e-14;7.848538578222475e-14
8.942e-15;8.14751273200615e-9;1.4389295437605706e-10;5.151071754767724e6;-147856.14885669312;4.187371095132216e21;-6.839950768219179e21;8.823032202704712e-14;7.834380017682756e-14
8.943e-15;8.152663803760918e-9;1.4374509822720038e-10;5.155259125862856e6;-154696.0996249123;4.0769919973040786e21;-4.852816113527008e21;8.83805849951094e-14;7.819506294968929e-14
8.944e-15;8.157819062886781e-9;1.4359040212757548e-10;5.159336117860161e6;-159548.91573843933;3.6058789806049334e21;-3.3886066659887976e21;8.852537122403523e-14;7.805874561139918e-14
8.945e-15;8.162978399004642e-9;1.4343085321183704e-10;5.162941996840766e6;-162937.52240442813;3.0482949256522556e21;-2.377117928401038e21;8.86526683772594e-14;7.794164400350223e-14
8.946000000000001e-15;8.168141341001483e-9;1.432679156894326e-10;5.165990291766418e6;-165314.64033282918;2.5223612162895606e21;-1.6914466766042306e21;8.875987191634074e-14;7.784407842448421e-14
8.947000000000001e-15;8.173307331293249e-9;1.4310260104909978e-10;5.168512652982708e6;-167006.0870094334;2.064300221100459e21;-1.2255413639412704e21;8.88483482712995e-14;7.776397537817651e-14
8.948000000000001e-15;8.178475843946232e-9;1.4293559496209036e-10;5.1705769532038085e6;-168231.62837337467;1.6762428459044836e21;-9.055202333875102e20;8.89206253802691e-14;7.769876010736222e-14
8.949000000000001e-15;8.183646420899435e-9;1.42767363333717e-10;5.172253196049713e6;-169137.14860676217;1.3487674311913992e21;-6.829952622429713e20;8.897924288321088e-14;7.764606923283831e-14
8.95e-15;8.188818674095484e-9;1.4259822618511023e-10;5.173601963480904e6;-169820.14386900514;1.0700269005507017e21;-5.2684412171619e20;8.902637473428104e-14;7.760395122078794e-14
8.951e-15;8.193992276058966e-9;1.4242840604124123e-10;5.174671990381454e6;-170346.98799072133;8.289582222482951e20;-4.1707112344942327e20;8.906375999122238e-14;7.757087379041677e-14
8.952e-15;8.199166948049347e-9;1.422580590532505e-10;5.175500948603703e6;-170764.05911417076;6.161205614963311e20;-3.4079537209702606e20;8.90927392632537e-14;7.754567155165959e-14
8.953e-15;8.204342448997951e-9;1.4208729499413634e-10;5.176117069165199e6;-171104.85448626778;4.236643296881147e20;-2.8975343659253272e20;8.91143167479369e-14;7.752748468448075e-14
8.954e-15;8.209518566067116e-9;1.4191619013965008e-10;5.176540733494887e6;-171394.6079228603;2.4502800836568053e20;-2.5877988750118483e20;8.912921913135352e-14;7.75157058410689e-14
8.955000000000001e-15;8.21469510680061e-9;1.417447955317272e-10;5.176785761503253e6;-171653.38781036148;7.458439837499654e19;-2.4490629484812226e20;8.913794278334976e-14;7.750993959754194e-14
8.956000000000001e-15;8.219871892562113e-9;1.4157314214391684e-10;5.176860345901628e6;-171898.2941052096;-9.269094083929162e19;-2.4686120260554287e20;8.914078803425143e-14;7.750997430068215e-14
8.957000000000001e-15;8.225048752908015e-9;1.4140124384981163e-10;5.176767654960789e6;-172145.15530781515;-2.6151144378180187e20;-2.648497577154104e20;8.913788165564453e-14;7.751576487448382e-14
8.958000000000001e-15;8.230225520562976e-9;1.412290986945038e-10;5.176506143517007e6;-172410.00506553057;-4.3652943609532036e20;-3.0055607782153336e20;8.912918918419645e-14;7.75274249377877e-14
8.959e-15;8.235402026706494e-9;1.410566886894383e-10;5.1760696140809115e6;-172710.5611433521;-6.225378108235359e20;-3.573581932053721e20;8.911451876527336e-14;7.754522649094921e-14
8.96e-15;8.240578096320575e-9;1.4088397812829493e-10;5.175447076270088e6;-173067.91933655748;-8.245958207977272e20;-4.407843512105382e20;8.909351842636054e-14;7.756960486280991e-14
8.961e-15;8.245753543396845e-9;1.4071091020895838e-10;5.17462248044929e6;-173508.70368776802;-1.0480039978130335e21;-5.592750064119141e20;8.90656697013298e-14;7.760116486318694e-14
8.962e-15;8.250928165877295e-9;1.4053740150527062e-10;5.173574476451477e6;-174067.97869417994;-1.297956271545092e21;-7.253410066094948e20;8.903028321297305e-14;7.764067991069181e-14
8.963e-15;8.256101740353747e-9;1.4036333352657643e-10;5.172276520179932e6;-174793.31970078943;-1.5785052325276672e21;-9.571927324138128e20;8.898650788407582e-14;7.768906690836159e-14
8.964000000000001e-15;8.261274016873927e-9;1.4018854020687564e-10;5.170698014947404e6;-175750.51243320326;-1.8901168594149753e21;-1.2807532428951932e21;8.89333781141242e-14;7.774730147047836e-14
8.965000000000001e-15;8.266444714888874e-9;1.4001278969444244e-10;5.16880789808799e6;-177031.26567609844;-2.2245005706149487e21;-1.7313807980542097e21;8.886994810701828e-14;7.781620407140478e-14
8.966000000000001e-15;8.271613522786962e-9;1.3983575842876633e-10;5.166583397517375e6;-178762.64647415266;-2.554744117257854e21;-2.3529757424431297e21;8.879560693997658e-14;7.789597227147325e-14
8.967e-15;8.27678010618448e-9;1.3965699578229217e-10;5.164028653400117e6;-181115.6222165958;-2.8192530715049994e21;-3.1884170921474376e21;8.871073272880883e-14;7.798527268084963e-14
8.968e-15;8.281944134837881e-9;1.3947588016007557e-10;5.161209400328612e6;-184304.03930874323;-2.9036609580697523e21;-4.2496121834276876e21;8.861788762991292e-14;7.807973918985582e-14
8.969e-15;8.287105344238209e-9;1.3929157612076684e-10;5.158305739370543e6;-188553.65149217093;-2.6431273882965933e21;-5.456188973600064e21;8.852359550309363e-14;7.817015405969957e-14
8.97e-15;8.29226364997758e-9;1.3910302246927467e-10;5.155662611982246e6;-194009.840465771;-1.8929735811939026e21;-6.566560821654319e21;8.843995557410695e-14;7.824182587500974e-14
8.971e-15;8.297419312589563e-9;1.389090126288089e-10;5.153769638401052e6;-200576.40128742534;-6.84429465865267e20;-7.207403551645852e21;8.838372422742646e-14;7.827803319985009e-14
8.972000000000001e-15;8.302573082227963e-9;1.387084362275215e-10;5.153085208935186e6;-207783.80483907118;6.78597454803573e20;-7.100163248598269e21;8.837006510313224e-14;7.826833938190221e-14
8.973000000000001e-15;8.307726167436898e-9;1.3850065242268242e-10;5.15376380638999e6;-214883.96808766943;1.7872944925606368e21;-6.305158102780723e21;8.840327419399402e-14;7.821561272142443e-14
8.974000000000001e-15;8.312879931243288e-9;1.3828576845459474e-10;5.155551100882551e6;-221189.12619045016;2.419100373417599e21;-5.16018075420841e21;8.84736291002009e-14;7.813396545412395e-14
8.975000000000001e-15;8.31803548234417e-9;1.380645793284043e-10;5.157970201255968e6;-226349.30694465857;2.6090416782293e21;-4.004692709568093e21;8.856419653776671e-14;7.804005844516667e-14
8.976e-15;8.323193452545427e-9;1.3783823002145964e-10;5.160579242934197e6;-230353.99965422667;2.511252788702905e21;-3.0218112418192593e21;8.865972001408258e-14;7.794646416097396e-14
8.977e-15;8.328354031788361e-9;1.376078760218054e-10;5.1630904957229e6;-233375.81089604594;2.2703693507980372e21;-2.2565442923823977e21;8.875051280331031e-14;7.786021947863728e-14
8.978e-15;8.333517122284084e-9;1.3737450021090937e-10;5.165360865073699e6;-235632.35518842834;1.979596499182003e21;-1.6861146404110194e21;8.883193975986167e-14;7.778422629663783e-14
8.979e-15;8.338682483149157e-9;1.3713886785572093e-10;5.167340461572881e6;-237318.46982883936;1.6875016220216929e21;-1.2688340510114767e21;8.890254962516288e-14;7.771903307015175e-14
8.98e-15;8.34384982361073e-9;1.3690154938589208e-10;5.169027963194903e6;-238587.30387985084;1.4149994560772925e21;-9.654016114497065e20;8.89625090680315e-14;7.766408964585485e-14
8.981000000000001e-15;8.349018851573924e-9;1.3666296208201223e-10;5.17044296265098e6;-239552.70549130056;1.1684614763602493e21;-7.448926533447575e20;8.901265204822286e-14;7.761845081029866e-14
8.982000000000001e-15;8.354189294536575e-9;1.3642340937652093e-10;5.17161142412734e6;-240297.5981446453;9.474450016569506e20;-5.8472924796707294e20;8.905398969316843e-14;7.758112009723098e-14
8.983000000000001e-15;8.359360905960703e-9;1.361831117783763e-10;5.172558869128997e6;-240882.32739261238;7.487079987946902e20;-4.68996739272982e20;8.90874867807227e-14;7.755119766071147e-14
8.984000000000001e-15;8.364533464829831e-9;1.359422294509837e-10;5.173307577127792e6;-241351.32413188537;5.681257788320067e20;-3.86698748951689e20;8.911397441181017e-14;7.752793187397031e-14
8.985e-15;8.36970677240696e-9;1.357008781268518e-10;5.1738757029066235e6;-241738.02288083706;4.015283388873474e20;-3.303828453779092e20;8.913412640962045e-14;7.751072759694781e-14
8.986e-15;8.374880648109866e-9;1.3545914010397095e-10;5.174277231245511e6;-242068.40572621496;2.450138839438278e20;-2.951687844903954e20;8.914846272468444e-14;7.749913722224811e-14
8.987e-15;8.38005492534111e-9;1.3521707169824473e-10;5.174522245129455e6;-242363.57451070537;9.50224787959611e19;-2.7810603423262887e20;8.915736233581505e-14;7.749284663036437e-14
