b;a
1.5850420841683366e-11;2.1870370823851637
1.5810521042084166e-11;2.186575180624906
1.577062124248497e-11;2.1858720687226176
1.573072144288577e-11;2.184923268399583
1.5690821643286574e-11;2.1837241085095322
1.5650921843687374e-11;2.1822697232521118
1.5611022044088174e-11;2.1805550501187367
1.5571122244488978e-11;2.1785748265206704
1.5531222444889778e-11;2.1763235840019624
1.549132264529058e-11;2.173795639074892
1.5451422845691382e-11;2.170985080018946
1.5411523046092183e-11;2.1678857494303707
1.5371623246492986e-11;2.1644912228411153
1.5331723446893787e-11;2.16079478426277
1.5291823647294587e-11;2.156789399942989
1.525192384769539e-11;2.1524676919133117
1.521202404809619e-11;2.1478219129054215
1.5172124248496994e-11;2.1428439239903216
1.5132224448897795e-11;2.1375251757682183
1.5092324649298595e-11;2.1318566932274328
1.50524248496994e-11;2.125829063610621
1.50125250501002e-11;2.119432425836667
1.4972625250501e-11;2.112656459474294
1.4932725450901803e-11;2.105490370977432
1.4892825651302603e-11;2.0979228749741687
1.4852925851703407e-11;2.0899421688878155
1.4813026052104207e-11;2.081535899934263
1.4773126252505008e-11;2.072691124471633
1.473322645290581e-11;2.063394260646323
1.4693326653306612e-11;2.0536310359990524
1.4653426853707415e-11;2.0433864320984196
1.4613527054108216e-11;2.032644628210964
1.4573627254509016e-11;2.021388945548495
1.4533727454909818e-11;2.0096017927841605
1.449382765531062e-11;1.9972646125709554
1.4453927855711422e-11;1.9843578279274847
1.4414028056112224e-11;1.970860786881987
1.4374128256513026e-11;1.956751703730992
1.4334228456913826e-11;1.9420075960500423
1.4294328657314628e-11;1.926604217746437
1.425442885771543e-11;1.9105159900626119
1.4214529058116232e-11;1.8937159339270666
1.4174629258517033e-11;1.8761756081310639
1.4134729458917835e-11;1.8578650579024885
1.4094829659318637e-11;1.8387527773610046
1.4054929859719439e-11;1.8188056870138352
1.4015030060120239e-11;1.7979891238730457
1.3975130260521041e-11;1.7762668378308981
1.3935230460921843e-11;1.7536009839857263
1.3895330661322645e-11;1.7299520977432006
1.3855430861723447e-11;1.705279038701566
1.3815531062124247e-11;1.6795388906455635
1.3775631262525049e-11;1.6526868092236937
1.3735731462925851e-11;1.6246758150641667
1.3695831663326653e-11;1.5954565379457684
1.3655931863727453e-11;1.5649769260857356
1.3616032064128255e-11;1.5331819429556768
1.3576132264529057e-11;1.5000132820712133
1.353623246492986e-11;1.4654091382067214
1.349633266533066e-11;1.4293040819212375
1.3456432865731462e-11;1.3916290938096945
1.3416533066132264e-11;1.352311825580019
1.3376633266533066e-11;1.3112771661350993
1.3336733466933868e-11;1.2684481999558592
1.3296833667334668e-11;1.223747649271038
1.325693386773547e-11;1.1770998853658603
1.3217034068136272e-11;1.1284335716195357
1.3177134268537074e-11;1.0776849548106309
1.3137234468937874e-11;1.0248017448977256
1.3097334669338676e-11;0.9697474167511939
1.3057434869739478e-11;0.912505637247402
1.301753507014028e-11;0.8530843906523927
1.297763527054108e-11;0.7915192815261514
